,from_id,text
0,308386269,🤣вот жесть то
0,643303,"Женщины, выпивка, казино, минут за 30 всё закончилось)"
0,125620058,еПлан😂
0,571218140,Зачем ты всех так отфотошопили? Котяков же живая свинина. Главный ТРУДОГОЛИК
0,4133521,"Так сказать для будущих поколений, список причастных...."
0,144918967,Засаленная колода министров и вечный Президент России… стагнация стране  обеспечена мышлением и действиями старцев  при Власти !
0,187917137,Ещё несколько будущих миллиардеров появятся!
0,279998229,Куда шайгу дели?)))
0,279998229,Куда шайгу дели?)))
0,98901834,Министр труда - хорош!))
0,212736710,"Ох, радости сколько. Заслужили."
0,62686674,"""А вы друзья как не садитесь, всё в музыканты не годитесь..."" И.А.Крылов."
0,85879259,"Ну, теперь заживём наконец то!"
0,123449943,Бонни и Клайд нервно курят в сторонке🤣
0,16398421,Странно что он не вёл стрим на ютубе в момент кражи. Мужик вообще не палится)
0,279998229,После такого нужно сразу уходить в бега 😱🤣
0,40943037,Сверх разум!
0,249023896,а как их лишишь? они номера скрывают
0,4133521,С таким огромным количеством камер и абсурдных знаков я считаю каждый гражданин должен скрывать номера чтобы эта кормушка наконец то заглохла
0,400877751,👍🏻
0,19615033,Давно пора!
0,663208688,"🤣 кто бы что бы не болтал Российская приора надежная машина чем эти китайцы , что они туда одноразовые штучки напихали  , это не значит они умеют делать что то , и еще Немцами хотят сравнить , так что русская приора самый не убиваемая"
0,31076637,+1 фобия🤦‍♂️
0,10769658,Вот вам и кытайское Дерьмо а вы все берёте его🤦🏻толи ещё будет с вашими ведрами плазменными👍👌
0,243987213,Это восстание китайских машин
0,-62438886,Адреса выложили тут - https://t.me/+C6FKzo4N3JZlNGMy
0,624653181,"Блин это опять напоминает ерал, симская"
0,254959260,что известно о причинах?
0,57729584,Опять диверсия хохлов?
0,153290731,А вы говорите два раза снаряд в одну воронку не падает
0,246486356,"Бегают еще малышки, абгрейдить внутри и еще 60 лет побегают)"
0,75802905,"Какая прелесть. От Железки до Апрелевки буржуйские со всеми удобствами пускаем, а дальняк пусть в товарняке трясется. Ма-лац-цы! Апладироваю!"
0,174089236,Прибывает на платформу Малаховка
0,581532997,"Направление здесь ни причем, если у людей нет инстинкта самосохранения"
0,743790982,Опять Ярик...
0,44895610,Понаделали рельс...
0,342649672,"Самое отбитое направление из всех, которые есть."
0,7367665,Ярик вообще ужас.
0,463040688,Что опять? Ну это вообще пипец каждый день такое
0,146467249,Так на Яузе нет турникетов
0,269282561,Традиционно влезал в обход турникетов прямо под состав
0,28958514,"Очень интересно, подскажите, мы наверно не знаем о метро с Люберец (Некрасовка, Д3) до Егорьевска через Куровское, где эта ветка???"
0,254959260,"Опора перебегала, споткнулась и упала."
0,596133434,"А окна в электричках наверное сто лет не мыли,цены задирают, хоть бы отмыли  немного."
0,44895610,Да там пути конечно жесть с 90-х осталось всё
0,216472726,Зато цены на проезд поднимают 👍
0,460588175,"Говорят, когда плачешь, то легче терпеть.
Ну а коли нет слёз, путь один — надо петь."
0,4492,В чём смысл?
0,417697666,Чего вы докопались то до него? Свои 3000 вольт этот персонаж уже получил!
0,662895024,А что случилось? Происходит
0,449391839,Блин. Шашлык не прожаренный...
0,202220455,Помощь окажут и снова полезет
0,44895610,Опять обман там понажовщина была на платформе
0,311244125,"Нехера цеплятся,безмозглые дети…🤦🏼‍♀️"
0,166686220,"Подзатыльников бы надавать, слава Богу, что жив остался."
0,262646672,"Поджарило на электроуглях- очень естественно звучит кстати, как будто из меню ресторана какого нибудь, ну или бургер кинга
PS стручок ему всё таки поджарило)"
0,463040688,Шашлык не получился
0,637738473,"Какая сильная ирония: зажарило на электроуглях. Лучше б насмерть. Чем больше зецеперов-дегенератов, тем их меньше..."
0,77904196,Игнорирует просил сначало  денег!😕
0,269282561,Благодаря воровским руководителям стали постоянной нормой опасные происшествие
0,254959260,неисправность стрелки?
0,478088879,Опять проезд 🤤
0,44895610,Плохое тех обслуживание железнодорожных путей
0,77534853,"Вот пол года назад, и пару месяцев назад все угорали над постоянными сходами в Америке и о том, как у них все плохо, где постилась информация такая.
А у нас тогда что?
Я конечно дико извиняюсь, но за последние пол года произошло столько крупных инцидентов на Мос. Узле и в России, что это жесть.🤦‍♂️"
0,656837648,Уже к нам приписали)
0,355740421,Добрый день это скорей всего на маршрут поставят
0,147227048,Го по МЦК на Демихе.😁
0,151664207,"Кажется из млрз, такой свежий"
0,151323503,Тоже на D1 кинут? 🤡
0,480388908,Нахабино или млрз ?
0,854898981,👍
0,672328787,А на каком участке катается эр2р?
0,136417600,Москва - Тверь опаздывает уже на 45 минут
0,544045,"Как ""достало"" мягко говоря самое мерзкое направление - октябрьская ж/д. Ездил почти по всем остальным из Москвы. Но самый ад только тут. Без предупреждения отменить все электрички на три часа вперед - ЛЕГКО! сиди жди на платформе! и пару раз так было... Самое отвратительно и неудобное!"
0,342649672,Ничему дураков жизнь не учит.
0,25938544,Собаке собачья смерть!
0,81048901,Зачем он вбок полез при проезде платформы...
0,180774836,И хрен с ним
0,28948866,Сергей Н. убивает своих друзей?)
0,757074688,Туда его
0,848366806,Жаль не сдох
0,247452400,"Жаль если пальцы погнулись придется взять амбулаторный отпуск, и потом отомстить за это членом об пантограф"
0,-119754954,-1
0,161752837,Продолжай наблюдение
0,463040688,Это я такси вызвал
0,465084940,Шмаровозка
0,147227048,АЧка.🚂
0,262646672,Автомотриса Чешская-2
0,312006258,Их две было 087 и 118
0,551405099,Люди делятся на 3 типа:
0,7367665,Членовозка
0,847871246,Солевые
0,637738473,Начальство
0,384279960,"Эх!!! Посадить бы, медсестёр к врачам!!! Чтобы они, в компуХтере, а врачи, пациента осматривали!!! 😉"
0,316368101,"С праздником, наши дорогие медицинские сестры, творящие добро и помогающие людям выздороветь ."
0,142819378,людей премировали?
0,847218943,А когда Международный День Санитарки?))))
0,679962980,А почему нас никто не поздравляет с днём всемирного больного?
0,38565693,"Поздравляю с профессиональным праздником средний медицинский персонал бывших, настоящих и будущих! Вы занимаетесь очень нужным, важным и тяжёлым трудом! Благодарим от всей души и желаем вам добра! 🌷🌷🌷"
0,195699924,"УБЕРИТЕ МИГРАНТОВ ИЗ ПОЛИКЛИНИК И БОЛЬНИЦ!!!!
ОНИ НЕ ПОНИМАЮТ ПО-РУССКИ НИ СЛОВА!!! И их ФИО невозможно выговорить русскому человеку."
0,7125010,"В СМИ и в соц сетях куча новостей о высоких профессионалах в медицине. Очень приятно слышать такие новости. Здорово что у нас в стране работают такие люди.
Но как приходишь в районную поликлинику всё впечатление тут же портится"
0,679962980,Только непонятно почему мы здоровее не становимся.
0,10329391,Хуже зверья дикого поступают ..(
0,217749852,Многострадальный Белгород! Всей душой сочувствую! ❤❤❤
0,679962980,Терпения и сил родственникам потерпевших.
0,679962980,"А что ОДКБ по этому поводу думает? А, знаю, союзники направляют в наши поликлиники безработных врачей работать. В этом их помощь и сострадание к пострадавшим."
0,384279960,"А кто даст? Пройти в мед? Если денег, нет? Вот, и врачи, и медсестры! Которые, ничего не знают!!!"
0,751271564,"этого пазла очень не хватало, понимания подробного будущей профессии🙂"
0,604268630,"Наверное, это лучшая новость выбирать профессию осознанно , поэтому и никто не меняет свой путь и не сомневается)"
0,294430464,"Средний и младший медперсонал - это самые ""рабочие лошадки"" в медицине и им не только плакаты надо рисовать, но и достойную зарплату обеспечивать - ферштейн?"
0,384279960,"А не лучше, бы???? Сделать календарь??? С медсёстрами на СВО??? Они точно, это заслуживают !!!"
0,4580939,Вот куда тратят деньги ОМС...
0,18485840,Хм... А почему не одного врача или медсестры в никабе? Что же так обделили ценных специалистов ближнего зарубежья и средней Азии...??? В поликлиниках их большинство! Вот больницы себе такой роскоши не позволяют!
0,19829740,Только почему-то относятся к ним плохо!
0,679962980,"Ага, в 1ф.22п-ки, одна такая медсестра всю дорогу плясала под дудку гл.врача и деж.врача. А вы, потом, сообщество, дали мне отписку по поводу моего обращения в тот день в поликлинику."
0,3151558,"Спасибо всем медсестрам, у них очень трудная работа. Лежала недавно в больнице Иноземцева, все молодцы, отзывчивые и человечные. 💕"
0,709524670,"Что бы херню постите? Вы же ответ будете держать перед жителями, над которыми вы издеваетесь! Вам не сладко будет - все, кто стелился под ваш финансовый ВОЗ."
0,541238581,"Заняться больше нечем, смотрю, ДЗМ и медсестрам, может, непосредственными обязанностями все-таки? На обследования не записаться!"
0,449353101,"Московские? Лежала в 64,там наездом на вахту в реанимации владимирские,в отделении пермячки. Любимой забавой у них было орать через все отделение друг другу что зарплата 30 тыс и как на это жить"
0,384279960,"Можно было, и гроб поставить!!!"
0,384279960,"Может фотку! С перепискам, в чате? 😉"
0,4580939,Вот куда уходят деньги ОМС
0,679962980,"Почему такая дискриминация, ни одного кадра с медсёстрами со среднеазиатской внешностью?"
0,394399401,Спасибо за ваш труд!
0,9673870,Добрый день. Я ранее задавала вопрос по теме онкологии и преступного отношения к пациенту- завотделением и врача. Вы так и не ответили.. Сориентируйте пжлст по предоставлению информации..
0,322690182,Спасибо за ваш труд и заботу !
0,596168539,Ангелы наши 💓 СПАСИБО за самый благородный труд 🙏🏼
0,394399401,Очень красиво. Сделано с душой. Спасибо.🌷🌷🌷
0,384279960,"Флористика, супер!!! Лечите, людей! Кстати. Что, не делаете! Ни разу, не видела , что МЧС выкладывает про тюльпанчики!!! Тушат, спасают, а не всякое г... о, выкладывают!!!"
0,463434985,"У меня вопрос, а именно в поликлинике 66 и филиалах есть врач-ортопед? Как попасть на прием к врачу-ортопеду?"
0,679962980,Сама страна - уже стресс. Развелось мошенников и рвачей. Одни фармаполиклиники чего стоят.
0,679962980,"Уважаемые, подписчики. Если вам позвонили и сообщили, что срок действия вашего номера телефона заканчивается сегодня.... Не верьте!!!! Это звонят мошенники."
0,679962980,"Только что позвонили мошенники из Ростовской области и пытались выкрасть мои персональные данные, чтобы иметь доступ к гос услугам. Не стала общаться и сообщила об этом сотовому оператору. Передали информацию и номер телефона службе безопасности. И вот, откуда мне теперь знать, добрались ли ещё какие-нибудь мошенники до моей электронной медицинской карты..."
0,38565693,Поздравляю!!!!🌷🌷🌷
0,735958839,А где сёстры Вересаевского флагмана🤔
0,346149965,Сама Лучшая медсестра - это моя подруга Лена!
0,484860981,Поздравляю 👏
0,253873977,"К слову, а должна быть девушка в белом халате, которая помогает врачу оказывать помощь пациенту...."
0,384279960,"А может? Сначала, работу выполнить!? Чтобы руки пациентов, не выглядели, как сплошной синяк? И задницы, тоже!!! 😉"
0,713042502,Посмотрите на сестер милосердия. Сколько достоинства в их облике. Берите пример с них.
0,679962980,Медицинские братья.
0,679962980,"Прям, модельное агенство какое-то, а не государственное учреждение."
0,713143039,"ну да…позаботишься тут…с 10 апреля на ЭхоКГ записаться не могу…и это в рамках диспансерного наблюдения…
до всех этих чудо-ремонтов, мега-обновлений и якобы-улучшений такой проблемы не возникало…"
0,384279960,"А у меня, будет? Если , в поликлинике не была, с 2009 года? У сына, например! Обращался регулярно! Даже, карты прививок, не было???"
0,519824911,"Вам отказано в предоставлении услуги, т.к. паспорт не прошел проверку. Рекомендуем при повторной подаче запроса указать корректные реквизиты действующего паспорта гражданина РФ. Если Вы уверены в правильности заполненных данных, обратитесь, пожалуйста, в подразделение МВД России по вопросам миграции. 
Номер заявки: 
0001-9000120-067401-00012702/24 
Ведомство: 
Департамент здравоохранения города Москвы

Вчера на сайте мосру по-новой заполнила данные паспорта и,бинго,паспорт прошел проверку! Почему у вас не проходит,будет конец этой истории?Сколько еще я буду трепать себе нервы от косяков на сайте и недоподдержки? Мне Собянину написать надо или в Прокуратуру? Исправляйте этот косяк,я читаю очень много жалоб от людей с такой же проблемой."
0,24619041,Ужин  по расписанию в 19-00 . Мороженное- да и в 21-00 можно съесть 😀
0,44272821,"А вот и нет. Если я поем перед сном, а если ещё с мясом. То сон крепче и лучше."
0,654465938,"А ведь правда, вроде обычные вещи , а стоит им научиться и прививать для себя правильные привычки )"
0,12156947,"У меня уже аллергия на выражения единые стандарты и флагманские центры. 
Случилось попасть недавно во флагманский центр. Долго ждала, когда же на новомодном табло появится фамилия пациента с проделанными ему процедурами. За два часа ожидания информация так и не появилась. Табло информации, оказывается висит постоянно. А на ресееепшине, информация не актуальна. Вот вам новые флагманские."
0,134327485,"Добрый день! Стандарты совершенствуются, а записаться к онкологу на Азовской, 22 нереально. Две  недели ""записи нет""!"
0,15020448,Одни стандарты ..... А качество врачей показывается отсутствие больных а их у нас хватает
0,330610381,смешные.....ваши данные ВСЕМ нужны...
0,9673870,"Помогите пожалуйста записаться к онкогинекологу. Ближайшая запись только на 28 мая. Операции была 24.04, РШМ. вопросы возникают как и новые симптомы каждый день.😭🤦‍♀️"
0,450155797,Вопрос к департаменту - заявление Раковой о выдаче или замене глюкометров нового поколения весной 2024 года ведётся (где и на каких условиях) или это очередной фейк власти.
0,330610381,"не выезжать за границу России, что бы вас не кидали в аквариумы и не было злости огромного числа людей ! Вакцины только для вас приезжающих из-за бугра !"
0,187890706,"Полезный список, спасибо. Единственное, что добавил бы, крем Акридерм ГК. У меня когда была аллергия на комариные укусы, здорово помог. Как намазал, почти сразу же кожа перестала зудеть, через несколько дней все прошло."
0,55353036,"Важно удалить так чтобы его голова не оторвалась. Нельзя тянуть не за брюшко. Иначе голова оторвется.
Бесплатно проверку клеща делать не будут, если вы его сами удалили, а не в травмпункте. (Носитель ли он энцефалита или Берлиоза) 
Но имхо лучше самому т.к. чем раньше удален тем меньше вероятность заражения."
0,412141187,Разве это загадка?
0,4403763,"Счастье —как здоровье
Когда его не замечаешь —значит оно есть.

❤️‍🩹❤️‍🩹❤️‍🩹"
0,479337160,"я думала,что то пасхальное,духовное написано..Слово Пасха нельзя использовать просто так.потеряете благоговение .яйцо пасхальное тоже духовный символ,а не просто раскрашенная картинка.Жизнь вечная!как можно использовать такие символы для обычной цитаты..."
0,520633919,"получается, что первая консультация по итогу платная?"
0,520633919,"У вас на сайте и в боте указано, что через вас на бесплатную первую консультацию или первый прием нельзя записаться в одну из больниц. Отсюда вопрос, даже если у меня на руках имеется подтвержденный диагноз в документарной форме, как врач может не видя меня положить на операцию?"
0,227907353,"Лучше бы показали, как можно удалять клеща."
0,94838215,Через какое время после родов можно делать операцию?
0,31798696,"У меня это после родов с 27 лет. Врачам по мж как всегда все равно. Как и на отсутствие цикла с 30 лет((( хорошо, что хотя бы в Москве не считают, что такое норма"
0,600485680,Меня возьмите на консультацию
0,397548344,Спасибо!❤❤❤ Взаимно 🤝
0,212462075,"Я жительница Донецкой Народной республики,очень благодарна всем сотрудникам проекта 
""Москва -столица здоровья"" за бесплатное лечение в лучшей травмотологии #2 ГКБ имени Юдина г .Москвы!
Этот проект возвращает меня к здоровой жизни.
Глубокое уважение доктору Раджабову Мустангеру Омаровичу!
Куратор Луиза самоя внимательная и отзывчивая!
Всех Вам благ! 
Здоровья! Ангела хранителя!"
0,165159320,Добрый день
0,165159320,"25 лет, после ковида возникли проблемы с давлением и пульсом. Давление восстановили, с пульсом нет результатов ( в спокойном состоянии 90-120, в движении 120-140). Делали узи сосудов, щитовидной железы, сердца, сдавались все анализы неоднократно, вешали дважды холтер. Диагноза нет."
0,176275393,"Добрый день, подскажите пожалуйста, что делать если кардиограмма в норме, а смарт часы стали постоянно показывать аритмию возможный риск экстрасистолии."
0,1461256,"Добрый день!
Вот это да !
Врач Кардиолог!
В поликлинике в моем городе к терапевту  то не попадешь вопрос задать, а тут настоящий кардиолог. 
Врачи такой специальности в моем понимании прям кудесники! 
Сердце - насос, дальше все знания заканчиваются. 
Еще такое редкое направление - аритмолог. 
Аритмолог- это когда, что-то с ритмом сердца. А что такие за ритмы или аритмы ? 
Как понять то, что с ними че-то не так ? 
Тут точно хамбакер не поможет …(((
Просветите пожалуйста?
Куда бежать , на что смотреть, к кому идти ?
Спасибо 🙏"
0,265325464,"На самом деле программа рабочая, но работают только по заболеваниям основным. Если есть второе сопутствующее не помогут. Узко мыслят. Можно уточнить вмкакую клинику нужно обратиться и самостоятельно через сайт отправить просьбу о госпитализации. Зачем ждать)"
0,37692130,"Как сделать операцию ребёнку в Москве? Если ты из Подмосковья, то никак! 057/у поликлиника не дает, ссылаясь на территориальную программу, а Московская больница не принимает без направления, хотя дата госпитализации назначена. В итоге на операцию мы не попадём😔 От куратора помощи ""ноль"" в этом вопросе."
0,49296603,Программа рабочая. Обращались дважды . Помощь оказана на высоком уровне.
0,1862880,"Здравствуйте! Оставляли заявку на сайте 21 ноября, до сих пор никто не позвонил🤷🏻‍♀️"
0,528223694,Привет Надя! Тебе предложили?
0,729795128,"Я обращалась собрала анализы , участкового терапевта озадачила описывал мне историю болезни,все переслала в больницу им.Плетнёва ещё в сентябре где меня обещали полечить и до сих пор ни ответа ни привета а я так надеялась ,но мне наши врачи сказали не верьте в эти сказки никто вас в Москве бесплатно лечить не будет."
0,4707620,"Обращались дважды, ни разу так и не помогли."
0,527097077,"А я стою на операцию замена кс, уже на декабрь записали, сейчас прохожу анализы и обследования, правда платно, так быстрей, ибо их очень много."
0,670145015,"Да, обращалась три больницы отказали, не их профиль😳"
0,30346607,Обращалась три раза и ни разу не помогли!
0,464711741,"Я читал пост до конца в надежде на то что водитель обратился в ГАИ и по камерам нашли владельца кошелька и вернули деньги, а не вот это вот всё 😂😂😂"
0,649685905,"Че за дибильнейшая привычка называть байкерами наших русских мотоциклистов? Своё похерили вконец что-ли? И для недалёкого админа байк по англ- это двухколесное средство, в том числе и велик. Только подразделяются на велобайк и мотобайк."
